length,error_rate,strategy,samples,mean_share,standard_error,ci95_low,ci95_high,first30_mean_share
1,0.225,NegtiveCopykitten,1000,0.3623888888888889,0.003095733860660067,0.3563212505219952,0.36845652725578265,0.3777777777777778
1,0.225,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.25,Random,1000,0.0,0.0,0,0.0,0.0
1,0.25,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.25,Cheater,1000,0.39222222222222236,0.0031893416711536306,0.38597111254676125,0.39847333189768347,0.4055555555555555
1,0.25,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.25,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.25,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.25,NegtiveCopycat,1000,0.24963888888888902,0.002472495888996845,0.2447927969464552,0.2544849808313228,0.25740740740740736
1,0.25,NegtiveCopykitten,1000,0.35813888888888923,0.003190062180077712,0.3518863670159369,0.36439141076184156,0.337037037037037
1,0.25,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.275,Random,1000,0.0,0.0,0,0.0,0.0
1,0.275,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.275,Cheater,1000,0.38755555555555565,0.003295593271185499,0.38109619274403206,0.39401491836707925,0.4092592592592592
1,0.275,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.275,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.275,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.275,NegtiveCopycat,1000,0.2492500000000003,0.0024985121130040966,0.24435291625851227,0.2541470837414883,0.23055555555555557
1,0.275,NegtiveCopykitten,1000,0.36319444444444393,0.003169150024229474,0.3569829103969542,0.3694059784919337,0.3601851851851851
1,0.275,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.3,Random,1000,0.0,0.0,0,0.0,0.0
1,0.3,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.3,Cheater,1000,0.38336111111111115,0.0033009445571741207,0.37689125977904986,0.38983096244317245,0.37870370370370376
1,0.3,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.3,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.3,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.3,NegtiveCopycat,1000,0.254611111111111,0.0025809542625068096,0.24955244075659766,0.25966978146562436,0.2509259259259259
1,0.3,NegtiveCopykitten,1000,0.3620277777777773,0.0032302861780346827,0.3556964168688293,0.36835913868672526,0.37037037037037035
1,0.3,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.325,Random,1000,0.0,0.0,0,0.0,0.0
1,0.325,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.325,Cheater,1000,0.3821666666666669,0.0033845922537261704,0.3755328658493636,0.3888004674839702,0.36574074074074064
1,0.325,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.325,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.325,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.325,NegtiveCopycat,1000,0.258305555555556,0.0025745353753766358,0.2532594662198178,0.2633516448912942,0.22592592592592595
1,0.325,NegtiveCopykitten,1000,0.359527777777778,0.003257648230582363,0.3531427872458366,0.3659127683097194,0.4083333333333334
1,0.325,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.35,Random,1000,0.0,0.0,0,0.0,0.0
1,0.35,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.35,Cheater,1000,0.38463888888888903,0.00347558129144776,0.37782674955765144,0.3914510282201266,0.3777777777777778
1,0.35,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.35,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.35,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.35,NegtiveCopycat,1000,0.2614444444444447,0.0025319813285185357,0.2564817610405484,0.26640712784834103,0.2731481481481481
1,0.35,NegtiveCopykitten,1000,0.35391666666666627,0.003252922787430099,0.34754093800330327,0.36029239533002927,0.34907407407407404
1,0.35,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.375,Random,1000,0.0,0.0,0,0.0,0.0
1,0.375,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.375,Cheater,1000,0.3823611111111115,0.0032981795475434715,0.3758966791979263,0.38882554302429667,0.3731481481481482
1,0.375,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.375,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.375,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.375,NegtiveCopycat,1000,0.26413888888888903,0.0026870282066897744,0.25887231360377705,0.269405464174001,0.2592592592592593
1,0.375,NegtiveCopykitten,1000,0.35349999999999954,0.003272217600543901,0.3470864535029335,0.3599135464970656,0.36759259259259264
1,0.375,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.4,Random,1000,0.0,0.0,0,0.0,0.0
1,0.4,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.4,Cheater,1000,0.3794166666666668,0.003263684807274953,0.3730198444444079,0.3858134888889257,0.40092592592592596
1,0.4,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.4,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.4,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.4,NegtiveCopycat,1000,0.26416666666666655,0.0027047884751880973,0.2588652812552979,0.2694680520780352,0.2388888888888889
1,0.4,NegtiveCopykitten,1000,0.3564166666666662,0.003165621955646287,0.3502120476335995,0.36262128569973295,0.3601851851851852
1,0.4,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.425,Random,1000,0.0,0.0,0,0.0,0.0
1,0.425,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.425,Cheater,1000,0.37730555555555595,0.003167899019114471,0.3710964734780916,0.3835146376330203,0.42592592592592593
1,0.425,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.425,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.425,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.425,NegtiveCopycat,1000,0.2697500000000002,0.002724928091431746,0.264409140940794,0.27509085905920644,0.22777777777777775
1,0.425,NegtiveCopykitten,1000,0.35294444444444356,0.0032149053610764614,0.3466432299367337,0.35924565895215343,0.3462962962962963
1,0.425,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.45,Random,1000,0.0,0.0,0,0.0,0.0
1,0.45,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.45,Cheater,1000,0.37705555555555614,0.0033503122057244846,0.37048894363233614,0.38362216747877614,0.3972222222222223
1,0.45,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.45,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.45,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.45,NegtiveCopycat,1000,0.271,0.0026985795734850056,0.2657107840359694,0.2762892159640306,0.2657407407407407
1,0.45,NegtiveCopykitten,1000,0.35194444444444434,0.0032304283227816808,0.34561280493179225,0.3582760839570964,0.337037037037037
1,0.45,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.475,Random,1000,0.0,0.0,0,0.0,0.0
1,0.475,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.475,Cheater,1000,0.37152777777777785,0.0031366912324044685,0.3653798629622651,0.3776756925932906,0.34907407407407404
1,0.475,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.475,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.475,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.475,NegtiveCopycat,1000,0.27736111111111117,0.0026216811298314722,0.2722226160966415,0.28249960612558084,0.3101851851851852
1,0.475,NegtiveCopykitten,1000,0.35111111111111104,0.0030888045508026666,0.3450570541915378,0.35716516803068427,0.34074074074074073
1,0.475,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.5,Random,1000,0.0,0.0,0,0.0,0.0
1,0.5,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.5,Cheater,1000,0.3732499999999993,0.0032794215474581546,0.3668223337669813,0.3796776662330173,0.3509259259259259
1,0.5,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.5,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.5,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.5,NegtiveCopycat,1000,0.2733611111111111,0.002799067425284856,0.26787493895755277,0.27884728326466945,0.2935185185185185
1,0.5,NegtiveCopykitten,1000,0.35338888888888925,0.0032698317731216483,0.3469800186135708,0.3597977591642077,0.3555555555555555
1,0.5,Grudger,1000,0.0,0.0,0,0.0,0.0
2,0.0,Random,1000,0.0,0.0,0,0.0,0.0
2,0.0,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.0,Cheater,1000,0.42044444444444423,0.00440000303333532,0.411820438499107,0.4290684503897815,0.39074074074074067
2,0.0,Copycat,1000,0.015416666666666667,0.0035520084657392936,0.00845473007381765,0.022378603259515684,0.0
2,0.0,Copykitten,1000,0.0061111111111111106,0.0018459197613776388,0.0024931083788109387,0.009729113843411283,0.019444444444444445
2,0.0,Copy3kitten,1000,0.0005555555555555556,0.0004390733173065341,0,0.0014161392574763623,0.0
2,0.0,NegtiveCopycat,1000,0.1926666666666673,0.002598767611632892,0.18757308214786683,0.19776025118546775,0.18611111111111114
2,0.0,NegtiveCopykitten,1000,0.3563333333333337,0.004149290502411436,0.3482007239486073,0.36446594271806015,0.4037037037037037
2,0.0,Grudger,1000,0.008472222222222221,0.0024469265704141836,0.0036762461442104216,0.01326819830023402,0.0
2,0.025,Random,1000,0.0,0.0,0,0.0,0.0
2,0.025,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.025,Cheater,1000,0.4184444444444449,0.004017017890055431,0.41057108937993625,0.42631779950895354,0.4268518518518519
2,0.025,Copycat,1000,0.011666666666666665,0.003195148573463383,0.005404175462678434,0.017929157870654897,0.0
2,0.025,Copykitten,1000,0.0018333333333333335,0.0009633911806797106,0,0.0037215800474655666,0.0
2,0.025,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.025,NegtiveCopycat,1000,0.19497222222222255,0.00238144657721852,0.19030458693087424,0.19963985751357086,0.18796296296296297
2,0.025,NegtiveCopykitten,1000,0.36738888888888827,0.003851822575669654,0.3598393166405757,0.3749384611372008,0.3851851851851852
